County,District,Senator,Party,TermStart,Phone,Email
Franklin,45,Dan Stec,Republican,2021,(518) 743-0968,stec@nysenate.gov
Fulton,49,Mark Walczyk,Republican,2023,(315) 782-3418,walczyk@nysenate.gov
Genesee,57,George Borrello,Republican,2019,(716) 664-4603,borrello@nysenate.gov
Greene,41,Michelle Hinchey,Democrat,2021,(845) 331-3810,hinchey@nysenate.gov
Hamilton,49,Mark Walczyk,Republican,2023,(315) 782-3418,walczyk@nysenate.gov
Herkimer,49,Mark Walczyk,Republican,2023,(315) 782-3418,walczyk@nysenate.gov
Herkimer,51,Peter Oberacker,Republican,2021,(607) 432-5524,oberacker@nysenate.gov
Jefferson,49,Mark Walczyk,Republican,2023,(315) 782-3418,walczyk@nysenate.gov
Kings,17,Iwen Chu,Democrat,2023,(718) 333-0311,iwenchu@nysenate.gov
Kings,18,Julia Salazar,Democrat,2019,(718) 573-1726,salazar@nysenate.gov
Kings,19,Roxanne Persaud,Democrat,2016,(718) 649-7653,Persaud@nysenate.gov
Kings,20,Zellnor Myrie,Democrat,2019,(718) 284-4700,msb.nysenate@gmail.com
Kings,21,Kevin Parker,Democrat,2003,(718) 629-6401,parker@nysenate.gov
Kings,22,Simcha Felder,Democrat,2013,(718) 253-2015,felder@nysenate.gov
Kings,23,Jessica Scarcella-Spanton,Democrat,2023,(718) 727-9406,spanton@nysenate.gov
Kings,25,Jabari Brisport,Democrat,2021,(718) 643-6140,brisport@nysenate.gov
Kings,26,Andrew Goundardes,Democrat,2019,(718) 238-6044,gounardes@nysenate.gov
Kings,59,Kristen Gonzalez,Democrat,2022,(718) 765-6674,gonzalez@nysenate.gov
Lewis,49,Mark Walczyk,Republican,2023,(315) 782-3418,walczyk@nysenate.gov
Livingston,54,Pam Helming,Republican,2016,(315) 568-9816,helming@nysenate.gov
Madison,53,Joseph Griffo,Republican,2006,(315) 793-9072,griffo@nysenate.gov
Monroe,54,Pam Helming,Republican,2016,(315) 568-9816,helming@nysenate.gov
Monroe,55,Samra Brouk,Democrat,2020,(585) 223-1800,brouk@nysenate.gov
Monroe,56,Jeremy Cooney,Democrat,2020,(585) 225-3650,cooney@nysenate.gov
Monroe,62,Rob Ortt,Republican,2014,(716) 434-0680,Ortt@nysenate.gov
Montgomery,46,Neil Breslin,Democrat,1997,(518) 455-2225,breslin@nysenate.gov
Nassau,5,Steven Rhoads,Republican,2023,(516) 882-0630,rhoads@nysenate.gov.
Nassau,6,Kevin Thomas,Democrat,2019,(516) 739-1700,thomas@nysenate.gov
Nassau,7,Jack Martins,Republican,2023,(516) 922-1811,martins@nysenate.gov
Nassau,8,Alexis Weik,Republican,2021,(631) 665-2311,weik@nysenate.gov
Nassau,9,Patricia Canzoneri-Fitzpatrick,Republican,2023,(516) 766-8383,canzoneri@nysenate.gov
New York,27,Brian Kavanaugh,Democrat,2018,(212) 298-5565,kavanagh@nysenate.gov
New York,28,Liz Krueger,Democrat,2003,(212) 490-9535,lkrueger@nysenate.gov
New York,29,Jose Serrano,Democrat,2005,(212)-828-5829,serrano@nysenate.gov
New York,30,Cordell Cleare,Democrat,2022,(212) 222-7315,cleare@nysenate.gov
New York,31,Robert Jackson,Democrat,2019,(212) 544-0173,jackson@nysenate.gov
New York,47,Brad Hoylman-Sigal,Democrat,2013,(212) 633-8052,hoylman@nysenate.gov
New York,59,Kristen Gonzalez,Democrat,2022,(718) 765-6674,gonzalez@nysenate.gov
Niagara,62,Rob Ortt,Republican,2014,(716) 434-0680,Ortt@nysenate.gov
Oneida,53,Joseph Griffo,Republican,2006,(315) 793-9072,griffo@nysenate.gov
Onondaga,48,Rachel May,Democrat,2019,(315) 478-8745,may@nysenate.gov
Onondaga,50,John Mannion,Democrat,2021,(315) 428-7632,mannion@nysenate.gov
Ontario,54,Pam Helming,Republican,2016,(315) 568-9816,helming@nysenate.gov
Orange,39,Robert Rolison,Republican,2023,(845) 229-0106,rolison@nysenate.gov
Orange,42,James Skoufis,Democrat,2019,(845) 567-1270,skoufis@nysenate.gov
Orleans,62,Rob Ortt,Republican,2014,(716) 434-0680,Ortt@nysenate.gov
Oswego,49,Mark Walczyk,Republican,2023,(315) 782-3418,walczyk@nysenate.gov
Oswego,50,John Mannion,Democrat,2021,(315) 428-7632,mannion@nysenate.gov
Otsego,51,Peter Oberacker,Republican,2021,(607) 432-5524,oberacker@nysenate.gov
Putnam,39,Robert Rolison,Republican,2023,(845) 229-0106,rolison@nysenate.gov
Putnam,40,Peter Harckham,Democrat,2019,(914) 241-4600,harckham@nysenate.gov
Queens,10,James Sanders Jr.,Democrat,2013,(718) 523-3069,sanders@nysenate.gov
Queens,11,Toby Ann Stavisky,Democrat,2000,(718) 445-0004,stavisky@nysenate.gov
Queens,12,Michael Gianaris,Democrat,2011,(718) 728-0960,gianaris@nysenate.gov
Queens,13,Jessica Ramos,Democrat,2019,(718) 205-3881,ramos@nysenate.gov
Queens,14,Leroy Comrie,Democrat,2014,(718) 454-0186,comrie@nysenate.gov
Queens,15,Joseph Addabbo Jr.,Democrat,2009,(718) 296-0495,addabbo@nysenate.gov
Queens,16,John Liu,Democrat,2019,(718) 765-6675,liu@nysenate.gov
Queens,59,Kristen Gonzalez,Democrat,2022,(718) 765-6674,gonzalez@nysenate.gov
Rensselaer,43,Jake Ashby,Republican,2023,(518) 371-2751,ashby@nysenate.gov
Richmond,23,Jessica Scarcella-Spanton,Democrat,2023,(718) 727-9406,spanton@nysenate.gov
Richmond,24,Andrew Lanza,Republican,2007,(718) 984-4073,lanza@nysenate.gov
Rockland,38,William Weber,Republican,2023,(518) 455-2991,weber@nysenate.gov
Rockland,40,Peter Harckham,Democrat,2019,(914) 241-4600,harckham@nysenate.gov
Saratoga,44,Jim Tedisco,Republican,2017,(518) 885-1829,tedisco@nysenate.gov
Schenectady,44,Jim Tedisco,Republican,2017,(518) 885-1829,tedisco@nysenate.gov
Schenectady,46,Neil Breslin,Democrat,1997,(518) 455-2225,breslin@nysenate.gov
Schoharie,51,Peter Oberacker,Republican,2021,(607) 432-5524,oberacker@nysenate.gov
Schuyler,58,Tom O'Mara,Republican,2010,(607) 735-9671,omara@nysenate.gov
Seneca,58,Tom O'Mara,Republican,2010,(607) 735-9671,omara@nysenate.gov
St. Lawrence,45,Dan Stec,Republican,2021,(518) 743-0968,stec@nysenate.gov
St. Lawrence,49,Mark Walczyk,Republican,2023,(315) 782-3418,walczyk@nysenate.gov
Steuben,58,Tom O'Mara,Republican,2010,(607) 735-9671,omara@nysenate.gov
Suffolk,1,Anthony Palumbo,Republican,2021,(631) 461-9100,palumbo@nysenate.gov
Suffolk,2,Mario Mattera,Republican,2021,(631) 361-2154,mattera@nysenate.gov
Suffolk,3,Dean Murray,Republican,2023,(631) 289-1035,murray@nysenate.gov
Suffolk,4,Monica Martinez,Democrat,2023,(631) 341-7111,martinez@nysenate.gov
Suffolk,8,Alexis Weik,Republican,2021,(631) 665-2311,weik@nysenate.gov
Sullivan,51,Peter Oberacker,Republican,2021,(607) 432-5524,oberacker@nysenate.gov
Tioga,58,Tom O'Mara,Republican,2010,(607) 735-9671,omara@nysenate.gov
Tompkins,52,Lea Webb,Democrat,2022,(607) 773-8771,leawebb@nysenate.gov
Ulster,41,Michelle Hinchey,Democrat,2021,(845) 331-3810,hinchey@nysenate.gov
Ulster,51,Peter Oberacker,Republican,2021,(607) 432-5524,oberacker@nysenate.gov
Warren,45,Dan Stec,Republican,2021,(518) 743-0968,stec@nysenate.gov
Washington,43,Jake Ashby,Republican,2023,(518) 371-2751,ashby@nysenate.gov
Washington,45,Dan Stec,Republican,2021,(518) 743-0968,stec@nysenate.gov
Wayne,54,Pam Helming,Republican,2016,(315) 568-9816,helming@nysenate.gov
Westchester,34,Nathalia Fernandez,Democrat,2023,(718) 822-2049,fernandez@nysenate.gov
Westchester,35,Andrea Stewart-Cousins,Democrat,2007,(914) 423-4031,scousins@nysenate.gov
Westchester,36,Jamaal Bailey,Democrat,2017,(718) 547-8854,senatorjbailey@nysenate.gov
Westchester,37,Shelley Mayer,Democrat,2019,(914) 934-5250,smayer@nysenate.gov
Westchester,40,Peter Harckham,Democrat,2019,(914) 241-4600,harckham@nysenate.gov
Wyoming,57,George Borrello,Republican,2019,(716) 664-4603,borrello@nysenate.gov
Yates,58,Tom O'Mara,Republican,2010,(607) 735-9671,omara@nysenate.gov
