NAME,COUNTY,MUNI_TYPE,pop,FIPS_CODE,district,rep,party,start,phone,email
Alfred,Allegany,Town,"5,157",3600301209,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Allen,Allegany,Town,494,3600301319,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Alma,Allegany,Town,781,3600301429,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Almond,Allegany,Town,"1,512",3600301451,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Amity,Allegany,Town,"2,171",3600302011,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Andover,Allegany,Town,"1,615",3600302154,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Angelica,Allegany,Town,"1,272",3600302187,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Belfast,Allegany,Town,"1,637",3600305573,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Birdsall,Allegany,Town,190,3600306717,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Bolivar,Allegany,Town,"2,029",3600307201,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Burns,Allegany,Town,"1,036",3600311253,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Caneadea,Allegany,Town,"2,294",3600312243,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Centerville,Allegany,Town,929,3600313475,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Clarksville,Allegany,Town,976,3600315990,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Cuba,Allegany,Town,"3,126",3600319367,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Friendship,Allegany,Town,"1,944",3600327705,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Genesee,Allegany,Town,"1,633",3600328563,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Granger,Allegany,Town,519,3600329905,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Grove,Allegany,Town,489,3600330994,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Hume,Allegany,Town,"2,073",3600336112,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Independence,Allegany,Town,"1,085",3600337297,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
New Hudson,Allegany,Town,792,3600350375,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Oil Springs,Allegany,Reservation,1,NA,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Rushford,Allegany,Town,"1,079",3600364166,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Scio,Allegany,Town,"1,614",3600365772,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Ward,Allegany,Town,334,3600378201,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Wellsville,Allegany,Town,"7,064",3600379103,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
West Almond,Allegany,Town,274,3600379202,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Willing,Allegany,Town,"1,281",3600382095,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Wirt,Allegany,Town,"1,049",3600382623,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Bronx,Bronx,Borough,"1,424,948",3600500000,77,Latoya Joyner,Democrat,2015,(718) 538-2000,joynerl@nyassembly.gov
Bronx,Bronx,Borough,"1,424,948",3600500000,78,George Alvarez,Democrat,2023,(718) 933-2204,alvarezg@nyassembly.gov
Bronx,Bronx,Borough,"1,424,948",3600500000,79,Chantel Jackson,Democrat,2021,(718) 538-3829,Jacksonc@nyassembly.gov
Bronx,Bronx,Borough,"1,424,948",3600500000,80,John Zaccaro Jr,Democrat,2023,(718) 409-0109,zaccaroj@nyassembly.gov
Bronx,Bronx,Borough,"1,424,948",3600500000,81,Jeffrey Dinowitz,Democrat,1995,(718) 796-5345,DinowiJ@nyassembly.gov
Bronx,Bronx,Borough,"1,424,948",3600500000,82,Michael Benedetto,Democrat,2005,(718) 892-2235,benedettom@nyassembly.gov
Bronx,Bronx,Borough,"1,424,948",3600500000,83,Carl Heastie,Democrat,2001,(718) 654-6539,Speaker@nyassembly.gov
Bronx,Bronx,Borough,"1,424,948",3600500000,84,Amanda Septimo,Democrat,2021,(718) 292-2901,septimoa@nyassembly.gov
Bronx,Bronx,Borough,"1,424,948",3600500000,85,Kenny Burgos,Democrat,2021,(718) 893-0202,burgosk@nyassembly.gov
Bronx,Bronx,Borough,"1,424,948",3600500000,86,Yudelka Tapia,Democrat,2022,(718) 933-6909,tapiay@nyassembly.gov
Bronx,Bronx,Borough,"1,424,948",3600500000,87,Karines Reyes,Democrat,2019,(718) 931-2620,reyesk@nyassembly.gov
Barker,Broome,Town,"2,509",3600704429,124,Christopher Friend,Republican,2011,(607) 562-3602,friendc@nyassembly.gov
Binghamton,Broome,Town,"4,617",3600706618,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Binghamton,Broome,City,"47,969",3600706607,123,Donna Lupardo,Democrat,2005,(607) 723-9047,LupardoD@nyassembly.gov
Chenango,Broome,Town,"10,959",3600715110,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Colesville,Broome,Town,"4,868",3600717046,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Conklin,Broome,Town,"5,008",3600717772,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Dickinson,Broome,Town,5100,3600720588,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Fenton,Broome,Town,"6,429",3600725604,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Kirkwood,Broome,Town,"5,481",3600739837,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Lisle,Broome,Town,"2,691",3600742653,124,Christopher Friend,Republican,2011,(607) 562-3602,friendc@nyassembly.gov
Maine,Broome,Town,"5,168",3600744611,124,Christopher Friend,Republican,2011,(607) 562-3602,friendc@nyassembly.gov
Nanticoke,Broome,Town,"1,581",3600749396,124,Christopher Friend,Republican,2011,(607) 562-3602,friendc@nyassembly.gov
Sanford,Broome,Town,"2,239",3600765112,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Triangle,Broome,Town,"2,809",3600775319,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Union,Broome,Town,"56,138",3600776056,123,Donna Lupardo,Democrat,2005,(607) 723-9047,LupardoD@nyassembly.gov
Vestal,Broome,Town,"29,313",3600777255,123,Donna Lupardo,Democrat,2005,(607) 723-9047,LupardoD@nyassembly.gov
Windsor,Broome,Town,"5,804",3600782535,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Allegany,Cattaraugus,Town,"7,493",3600901297,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Allegany,Cattaraugus,Reservation,"1,020",NA,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Ashford,Cattaraugus,Town,"1,961",3600902759,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Carrollton,Cattaraugus,Town,"1,207",3600912661,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Cattaraugus,Cattaraugus,Reservation,693,NA,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Coldspring,Cattaraugus,Town,658,3600916903,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Conewango,Cattaraugus,Town,"1,785",3600917684,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Dayton,Cattaraugus,Town,"1,690",3600919840,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
East Otto,Cattaraugus,Town,974,3600922678,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Ellicottville,Cattaraugus,Town,"1,315",3600924031,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Farmersville,Cattaraugus,Town,"1,073",3600925340,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Franklinville,Cattaraugus,Town,"2,802",3600927342,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Freedom,Cattaraugus,Town,"2,261",3600927441,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Great Valley,Cattaraugus,Town,"1,991",3600930257,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Hinsdale,Cattaraugus,Town,"2,113",3600934946,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Humphrey,Cattaraugus,Town,703,3600936123,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Ischua,Cattaraugus,Town,736,3600937825,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Leon,Cattaraugus,Town,"1,244",3600941982,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Little Valley,Cattaraugus,Town,"1,675",3600942840,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Lyndon,Cattaraugus,Town,685,3600943896,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Machias,Cattaraugus,Town,"2,310",3600944237,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Mansfield,Cattaraugus,Town,843,3600945161,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Napoli,Cattaraugus,Town,"1,171",3600949462,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
New Albion,Cattaraugus,Town,"1,981",3600949880,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Oil Springs,Cattaraugus,Reservation,1,NA,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Olean,Cattaraugus,Town,"1,881",3600954727,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Olean,Cattaraugus,City,"13,937",3600954716,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Otto,Cattaraugus,Town,777,3600955783,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Perrysburg,Cattaraugus,Town,"1,518",3600957298,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Persia,Cattaraugus,Town,"2,207",3600957331,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Portville,Cattaraugus,Town,"3,504",3600959509,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Randolph,Cattaraugus,Town,"2,469",3600960587,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Red House,Cattaraugus,Town,27,3600960950,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Salamanca,Cattaraugus,Town,470,3600964760,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
South Valley,Cattaraugus,Town,250,3600969870,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Yorkshire,Cattaraugus,Town,"3,827",3600984055,148,Joseph Giglio,Republican,2006,(716) 373-7103,GiglioJ@nyassembly.gov
Auburn,Cayuga,City,"26,866",3601103078,126,John Lemondes,Republican,2021,(315) 255-3045,lemondesj@nyassembly.gov
Aurelius,Cayuga,Town,"2,611",3601103166,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Brutus,Cayuga,Town,"4,314",3601110297,126,John Lemondes,Republican,2021,(315) 255-3045,lemondesj@nyassembly.gov
Cato,Cayuga,Town,"2,445",3601112969,126,John Lemondes,Republican,2021,(315) 255-3045,lemondesj@nyassembly.gov
Conquest,Cayuga,Town,"1,791",3601117849,126,John Lemondes,Republican,2021,(315) 255-3045,lemondesj@nyassembly.gov
Fleming,Cayuga,Town,"2,477",3601126231,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Genoa,Cayuga,Town,"1,815",3601128673,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Ira,Cayuga,Town,"2,142",3601137660,120,William Barclay,Republican,2003,(315) 598-5185,BarclayW@nyassembly.gov
Ledyard,Cayuga,Town,"1,655",3601141740,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Locke,Cayuga,Town,"1,879",3601143071,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Mentz,Cayuga,Town,"2,114",3601146602,126,John Lemondes,Republican,2021,(315) 255-3045,lemondesj@nyassembly.gov
Montezuma,Cayuga,Town,"1,177",3601148131,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Moravia,Cayuga,Town,"3,323",3601148307,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Niles,Cayuga,Town,"1,137",3601151198,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Owasco,Cayuga,Town,"3,552",3601155871,126,John Lemondes,Republican,2021,(315) 255-3045,lemondesj@nyassembly.gov
Scipio,Cayuga,Town,"1,531",3601165816,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Sempronius,Cayuga,Town,840,3601166278,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Sennett,Cayuga,Town,"3,304",3601166443,126,John Lemondes,Republican,2021,(315) 255-3045,lemondesj@nyassembly.gov
Springport,Cayuga,Town,"2,227",3601170376,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Sterling,Cayuga,Town,"3,221",3601171146,120,William Barclay,Republican,2003,(315) 598-5185,BarclayW@nyassembly.gov
Summerhill,Cayuga,Town,"1,108",3601172037,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Throop,Cayuga,Town,"1,831",3601173770,126,John Lemondes,Republican,2021,(315) 255-3045,lemondesj@nyassembly.gov
Venice,Cayuga,Town,"1,236",3601177024,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Victory,Cayuga,Town,"1,652",3601177420,120,William Barclay,Republican,2003,(315) 598-5185,BarclayW@nyassembly.gov
Arkwright,Chautauqua,Town,"1,008",3601302605,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Busti,Chautauqua,Town,"7,543",3601311451,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Carroll,Chautauqua,Town,"3,456",3601312639,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Cattaraugus,Cattaraugus,Reservation,693,NA,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Charlotte,Chautauqua,Town,"1,527",3601313860,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Chautauqua,Chautauqua,Town,"4,009",3601314069,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Cherry Creek,Chautauqua,Town,"1,037",3601315198,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Clymer,Chautauqua,Town,"1,753",3601316595,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Dunkirk,Chautauqua,Town,"1,240",3601321116,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Dunkirk,Chautauqua,City,"12,743",3601321105,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Ellery,Chautauqua,Town,"4,122",3601323976,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Ellicott,Chautauqua,Town,"8,768",3601323998,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Ellington,Chautauqua,Town,"1,497",3601324053,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
French Creek,Chautauqua,Town,"1,007",3601327606,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Gerry,Chautauqua,Town,"1,782",3601328838,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Hanover,Chautauqua,Town,"6,972",3601332050,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Harmony,Chautauqua,Town,"2,121",3601332248,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Jamestown,Chautauqua,City,"28,712",3601338264,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Kiantone,Chautauqua,Town,"1,397",3601339507,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Mina,Chautauqua,Town,"1,007",3601347592,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
North Harmony,Chautauqua,Town,"2,192",3601352155,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Poland,Chautauqua,Town,"2,214",3601358926,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Pomfret,Chautauqua,Town,"13,035",3601358981,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Portland,Chautauqua,Town,"4,309",3601359421,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Ripley,Chautauqua,Town,"2,323",3601361885,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Sheridan,Chautauqua,Town,"2,564",3601366916,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Sherman,Chautauqua,Town,"1,622",3601366960,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Stockton,Chautauqua,Town,"2,044",3601371476,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Villenova,Chautauqua,Town,"1,057",3601377530,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Westfield,Chautauqua,Town,"4,553",3601379950,150,Andy Goodell,Republican,2011,(716) 664-7773,goodella@nyassembly.gov
Ashland,Chemung,Town,"1,510",3601502781,124,Christopher Friend,Republican,2011,(607) 562-3602,friendc@nyassembly.gov
Baldwin,Chemung,Town,812,3601504132,124,Christopher Friend,Republican,2011,(607) 562-3602,friendc@nyassembly.gov
Big Flats,Chemung,Town,"7,791",3601506475,124,Christopher Friend,Republican,2011,(607) 562-3602,friendc@nyassembly.gov
Catlin,Chemung,Town,"2,541",3601512947,132,Philip Palmesano,Republican,2011,(607) 776-9691,palmesanop@nyassembly.gov
Chemung,Chemung,Town,"2,358",3601515077,124,Christopher Friend,Republican,2011,(607) 562-3602,friendc@nyassembly.gov
Elmira,Chemung,Town,"6,848",3601524240,124,Christopher Friend,Republican,2011,(607) 562-3602,friendc@nyassembly.gov
Elmire,Chemung,City,"26,523",3601524229,124,Christopher Friend,Republican,2011,(607) 562-3602,friendc@nyassembly.gov
Erin,Chemung,Town,"1,806",3601524636,132,Philip Palmesano,Republican,2011,(607) 776-9691,palmesanop@nyassembly.gov
Horseheads,Chemung,Town,"19,374",3601535705,124,Christopher Friend,Republican,2011,(607) 562-3602,friendc@nyassembly.gov
Southport,Chemung,Town,"9,691",3601569617,124,Christopher Friend,Republican,2011,(607) 562-3602,friendc@nyassembly.gov
Van Etten,Chemung,Town,"1,539",3601576892,132,Philip Palmesano,Republican,2011,(607) 776-9691,palmesanop@nyassembly.gov
Veteran,Chemung,Town,"3,355",3601577310,132,Philip Palmesano,Republican,2011,(607) 776-9691,palmesanop@nyassembly.gov
Afton,Chenango,Town,"2,769",3601700353,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Bainbridge,Chenango,Town,"3,060",3601704044,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Columbus,Chenango,Town,898,3601717486,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Coventry,Chenango,Town,"1,516",3601718619,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
German,Chenango,Town,308,3601728739,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Greene,Chenango,Town,"5,296",3601730422,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Guilford,Chenango,Town,"2,741",3601731148,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Lincklaen,Chenango,Town,361,3601742411,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
McDonough,Chenango,Town,797,3601744127,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
New Berlin,Chenango,Town,"2,525",3601749957,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
North Norwich,Chenango,Town,"1,664",3601753297,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Norwich,Chenango,Town,"3,599",3601753990,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Norwich,Chenango,City,"7,051",3601753979,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Otselic,Chenango,Town,859,3601755717,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Oxford,Chenango,Town,"3,614",3601755959,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Pharsalia,Chenango,Town,516,3601757507,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Pitcher,Chenango,Town,667,3601758288,131,Jeff Gallahan,Republican,2021,(315) 781-2030,gallahanj@nyassembly.gov
Plymouth,Chenango,Town,"1,619",3601758772,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Preston,Chenango,Town,895,3601759817,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Sherburne,Chenango,Town,"3,973",3601766894,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Smithville,Chenango,Town,"1,255",3601768055,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Smyrna,Chenango,Town,"1,237",3601768110,121,Joe Angelino,Republican,2021,(607) 648-6080,angelinoj@nyassembly.gov
Altona,Clinton,Town,"2,666",3601901583,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Au Sable,Clinton,Town,"3,183",3601903221,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Beekmantown,Clinton,Town,"5,508",3601905485,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Black Brook,Clinton,Town,"1,453",3601906761,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Champlain,Clinton,Town,"5,745",3601913750,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Chazy,Clinton,Town,"4,096",3601914113,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Clinton,Clinton,Town,652,3601916397,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Dannemora,Clinton,Town,"4,037",3601919653,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Ellenburg,Clinton,Town,"1,842",3601923921,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Mooers,Clinton,Town,"3,467",3601948252,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Peru,Clinton,Town,"6,772",3601957375,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Plattsburgh,Clinton,Town,"11,886",3601958585,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Plattsburgh,Clinton,City,"19,841",3601958574,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Saranac,Clinton,Town,"3,852",3601965211,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Schuyler Falls,Clinton,Town,"4,843",3601965717,115,Billy Jones,Democrat,2017,(518) 562-1986,jonesb@nyassembly.gov
Ancram,Columbia,Town,"1,440",3602102099,106,Didi Barrett,Democrat,2013,(518) 828-1961,barrettd@nyassembly.gov
Austerlitz,Columbia,Town,"1,625",3602103287,106,Didi Barrett,Democrat,2013,(518) 828-1961,barrettd@nyassembly.gov
